Function0 called 1 times Max cycle: 92195086  Min cycle: 92195086
Function15 called 1 times Max cycle: 58802176  Min cycle: 58802176
Function14 called 1 times Max cycle: 60084528  Min cycle: 60084528
Function15 called 2 times Max cycle: 58802176  Min cycle: 15040206
Function14 called 2 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 3 times Max cycle: 58802176  Min cycle: 11328097
Function16 called 1 times Max cycle: 16320835  Min cycle: 16320835
Function3 called 1 times Max cycle: 31119865  Min cycle: 31119865
Function13 called 1 times Max cycle: 64802841  Min cycle: 64802841
Function6 called 1 times Max cycle: 7909930  Min cycle: 7909930
Function6 called 2 times Max cycle: 7909930  Min cycle: 5157179
Function7 called 1 times Max cycle: 5401466  Min cycle: 5401466
Function9 called 1 times Max cycle: 5226918  Min cycle: 5226918
Function15 called 4 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 3 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 3 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 4 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 2 times Max cycle: 9538444  Min cycle: 5401466
Function9 called 2 times Max cycle: 9934813  Min cycle: 5226918
Function15 called 5 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 4 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 6 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 5 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 7 times Max cycle: 58802176  Min cycle: 11328097
Function16 called 2 times Max cycle: 27598141  Min cycle: 16320835
Function3 called 2 times Max cycle: 52817597  Min cycle: 31119865
Function12 called 1 times Max cycle: 97888554  Min cycle: 97888554
Function6 called 5 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 6 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 1 times Max cycle: 8574969  Min cycle: 8574969
Function18 called 1 times Max cycle: 106355321  Min cycle: 106355321
Function15 called 8 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 6 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 7 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 8 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 3 times Max cycle: 10518661  Min cycle: 5401466
Function9 called 3 times Max cycle: 9934813  Min cycle: 5226918
Function15 called 9 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 7 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 9 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 10 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 2 times Max cycle: 9588521  Min cycle: 8574969
Function15 called 10 times Max cycle: 58802176  Min cycle: 11328097
Function6 called 11 times Max cycle: 17145096  Min cycle: 5157179
Function16 called 3 times Max cycle: 27598141  Min cycle: 16320835
Function21 called 1 times Max cycle: 102250958  Min cycle: 102250958
Function15 called 11 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 8 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 12 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 13 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 4 times Max cycle: 10518661  Min cycle: 5401466
Function9 called 4 times Max cycle: 10289751  Min cycle: 5226918
Function15 called 12 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 9 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 13 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 10 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 14 times Max cycle: 58802176  Min cycle: 11328097
Function16 called 4 times Max cycle: 28853288  Min cycle: 16320835
Function3 called 3 times Max cycle: 52817597  Min cycle: 31119865
Function12 called 2 times Max cycle: 97888554  Min cycle: 96092388
Function6 called 14 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 15 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 3 times Max cycle: 10043463  Min cycle: 8574969
Function18 called 2 times Max cycle: 106355321  Min cycle: 99762360
Function15 called 15 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 11 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 16 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 17 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 5 times Max cycle: 10518661  Min cycle: 5401466
Function9 called 5 times Max cycle: 10289751  Min cycle: 5226918
Function15 called 16 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 12 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 18 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 19 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 4 times Max cycle: 15277584  Min cycle: 8574969
Function15 called 17 times Max cycle: 58802176  Min cycle: 11328097
Function6 called 20 times Max cycle: 17145096  Min cycle: 5157179
Function16 called 5 times Max cycle: 28853288  Min cycle: 16320835
Function21 called 2 times Max cycle: 106822070  Min cycle: 102250958
Function15 called 18 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 13 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 21 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 22 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 6 times Max cycle: 10518661  Min cycle: 5401466
Function9 called 6 times Max cycle: 10289751  Min cycle: 5226918
Function15 called 19 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 14 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 20 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 15 times Max cycle: 60084528  Min cycle: 16210281
Function15 called 21 times Max cycle: 58802176  Min cycle: 11328097
Function16 called 6 times Max cycle: 28853288  Min cycle: 16320835
Function3 called 4 times Max cycle: 52817597  Min cycle: 31119865
Function12 called 3 times Max cycle: 97888554  Min cycle: 95776236
Function6 called 23 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 24 times Max cycle: 17145096  Min cycle: 5157179
Function8 called 5 times Max cycle: 15277584  Min cycle: 8574969
Function18 called 3 times Max cycle: 107105342  Min cycle: 99762360
Function15 called 22 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 16 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 25 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 26 times Max cycle: 17145096  Min cycle: 5157179
Function7 called 7 times Max cycle: 10518661  Min cycle: 5401466
Function9 called 7 times Max cycle: 10289751  Min cycle: 5226918
Function15 called 23 times Max cycle: 58802176  Min cycle: 11328097
Function14 called 17 times Max cycle: 60084528  Min cycle: 16210281
Function6 called 27 times Max cycle: 17145096  Min cycle: 5157179
Function6 called 28 times Max cycle: 17145096  Min cycle: 5157179
